scenario_id,pathway,horizon,temperature_anomaly_c,precipitation_change_fraction,heatwave_days,co2_ppm,rainfall_cv,sugar_price_index,energy_price_index,input_cost_index,water_cost_usd_m3,institutional_capacity,adoption_fraction,discount_rate,pest_pressure,flood_index,model_structure_factor,climate_severity_index
0,SSP1-2.6,2035,1.0863218216947268,-0.022171583632465294,14.740320162838414,459.82754261552554,0.28557675774270286,0.8784457663908407,1.1392480645199028,1.1565139504201056,0.08487563289488106,0.534280708025156,0.6813885337994867,0.08316940808290173,0.05919999529455042,0.13995186520994599,1.0186926656953506,0.15024461258125965
1,SSP1-2.6,2035,1.1042349298763954,-0.01713672864110075,16.0215380738181,457.215876786184,0.17761353056334722,1.0586349819552,1.0934626184745024,1.1753141022212168,0.07562186093723929,0.4904140817509565,0.5629150613828512,0.08637505526282538,0.11483156336369976,0.10216473569717152,0.9751764384798076,0.11776657209666085
2,SSP1-2.6,2035,1.1694598151843114,0.043670713369358696,9.52499876011768,436.7149417644547,0.1659905245725589,1.0712024777231854,1.0831694332814914,1.1045399119396193,0.08460120285660959,0.8766815576758773,0.922634964991669,0.06325076352833947,0.0761415456504908,0.11993204028507495,1.0228231028335628,0.07238980894677877
3,SSP1-2.6,2035,1.248871257403262,0.048746302261932405,9.975640634359477,412.9313776009522,0.2588620285914985,1.0948249301652921,1.3210244239685607,1.178419917729641,0.1072541659394545,0.452920017580087,0.6004252302625733,0.08841699469105323,0.1495416317639291,0.15497486113799067,1.0061067217148925,0.11103009780231893
4,SSP1-2.6,2035,1.1186199792412188,-0.011607028447807905,8.868527667091163,462.70602167897107,0.18414183345294766,1.0010645096063389,1.1052891077204992,1.1989597874015634,0.025,0.362821327859972,0.5774789983957562,0.09402792215939326,0.1092579601012456,0.10444964170853169,1.0249187886759334,0.08906571883918958
5,SSP1-2.6,2035,1.2085621309984642,0.014019823603345177,6.217143234805213,438.6931493226449,0.2740661662283654,1.276801322160396,0.8642638561696337,1.0210982797031452,0.045892477513887114,0.5119391096854918,0.575821601428732,0.07699487496127937,0.08674968771577449,0.14293306998160046,0.9743269306318205,0.09795185054086582
6,SSP1-2.6,2035,1.3202648692891992,0.09344904448886222,8.806627040642763,450.64251463629734,0.15740917760300843,1.0237420391147893,0.9881584693598695,1.142775408126998,0.068258690830448,0.712417259199047,0.742379032285866,0.07352281286227061,0.023583731482626533,0.14181773440548406,0.9891682362331614,0.08005410658733937
7,SSP1-2.6,2035,1.2206818432483308,0.07041490140175193,7.031651505937559,445.2074817262618,0.15429480694193587,0.9388058796093623,0.911491928816445,1.0397516127038406,0.09122401439890798,0.7313244552001922,0.7716641290296287,0.06703001792404335,0.17081569849288886,0.12921063313055353,0.9972329906604445,0.0635091271320078
8,SSP1-2.6,2035,0.7849566620178716,-0.04125900100213346,14.822126529097527,453.8458557861459,0.29936320158577856,0.9719682047579656,0.72,1.0139363954566223,0.08399694402949764,0.6649820353152657,0.756457550361858,0.06895708875882407,0.20867964736043376,0.14477712055502248,1.011914248934216,0.14435609052769172
9,SSP1-2.6,2035,1.0438668892794216,-0.04937426876755685,10.525807077250724,415.5457713743591,0.23752106328798106,0.8156325893414986,0.8955395626671004,1.1436566044463898,0.05224278777117901,0.5370108505148703,0.6607904354381247,0.08234058232906208,0.1261835721568243,0.12313237215079337,1.007669500752297,0.1372205146479661
10,SSP1-2.6,2035,0.9874830716608098,0.0976779426278365,11.59721336973242,437.5111325854968,0.339553259789304,1.1579973118253275,1.1249183799259326,1.0918995999279795,0.10607989997276975,0.5540554544759383,0.7066784490683818,0.07870143650309429,0.014345074519326026,0.20768261224017465,1.024506545103056,0.12042487918147415
11,SSP1-2.6,2035,1.1266705229259104,-0.07865673452005692,9.049453879816177,469.3218429876158,0.30274057477373545,1.3393859505364152,0.8422353755641291,1.0495317147435226,0.08337328045501848,0.8380361795509821,0.8929797651059916,0.062221052585563645,0.05952006762910602,0.1459592011708074,1.0211656254782862,0.18394107495179482
12,SSP1-2.6,2035,0.8706221743660838,-0.03355517447421048,16.76351438767742,458.59162464389397,0.28692348670756085,1.2382847784719293,1.0168073215137952,1.2188960851169648,0.08317827130263586,0.7532650547713795,0.7837685119063016,0.07557922876772913,0.01,0.1404232203476463,0.9958509711975929,0.14896156025739798
13,SSP1-2.6,2035,1.1252953678243651,-0.08363364262579823,12.387855834387942,458.7953622610653,0.27091375738459733,0.7929896041849482,0.72,0.9791747050794193,0.08562864032137779,0.4465792248489918,0.6409063533163921,0.07800544595413451,0.19985237377521098,0.13481981508460905,1.0280959449330018,0.19049267131590272
14,SSP1-2.6,2035,0.55,-0.009749097068806894,4.874540901930849,447.9827244568092,0.16645078871482893,0.9983517184884407,1.2550096610750425,0.8206539730244556,0.07499375857111813,0.43315023768772787,0.49114960170782335,0.07014116358616121,0.22436425258496034,0.09825777605019012,0.9590618342211736,0.021570668329000214
